F1_0(HOUSE_CODE),F1_1_1(VISIT_NO),F1_1_3(FIELD_WORKER),F1_1_2(VISIT_DATETIME),F1_1_4(STATUS),F1_1_4_2(STATUS_OTHER),F1_1_5(RETURN_DATETIME),F1_1_6(PREVIOUS_CHILD_ID),F1_2(RANDOMIZATION_RESULT),F1_3(CHILDREN_COUNT_2ORLESS),F1_4(REFUSAL_REASON),REFUSAL_REASON_OTHER,F1_5(REVISIT),F1_6(COMMENT),DATE_CREATED
323-007-320,1,33,20-06-16,0,null,null,null,0,null,null,null,null,null,20-06-16
323-007-321,1,33,20-06-16,0,null,null,null,0,null,null,null,null,null,20-06-16
323-007-322,1,33,20-06-16,0,null,null,null,0,null,null,null,null,null,20-06-16
323-007-323,1,33,20-06-16,0,null,null,null,0,null,null,null,null,null,20-06-16
323-007-324,1,33,20-06-16,0,null,null,null,0,null,null,null,null,null,20-06-16
323-007-325,1,33,20-06-16,0,null,null,null,0,null,null,null,null,null,20-06-16
323-007-409,1,34,20-06-16,0,null,null,null,0,null,null,null,null,null,20-06-16
323-007-411,1,34,20-06-16,1,null,null,null,0,null,null,null,null,null,20-06-16
323-007-410,1,34,20-06-16,0,null,null,null,0,null,null,null,null,null,20-06-16
323-007-501,1,35,18-06-16,0,null,null,null,0,null,null,null,null,null,18-06-16
323-007-502,1,35,18-06-16,0,null,null,null,0,null,null,null,null,null,18-06-16
323-007-503,1,35,18-06-16,0,null,null,null,0,null,null,null,null,null,18-06-16
323-007-504,1,35,18-06-16,0,null,null,null,0,null,null,null,null,null,18-06-16
323-007-505,1,35,18-06-16,0,null,null,null,0,null,null,null,null,null,18-06-16
323-007-506,1,35,18-06-16,0,null,null,null,0,null,null,null,null,null,18-06-16
323-007-507,1,35,18-06-16,0,null,null,null,0,null,null,null,null,null,18-06-16
323-007-508,1,35,18-06-16,0,null,null,null,0,null,null,null,null,null,18-06-16
323-007-509,1,35,18-06-16,11,null,null,99999,0,null,null,null,null,null,18-06-16
323-007-510,1,35,18-06-16,11,null,null,16034,0,null,null,null,null,null,18-06-16
323-007-511,1,35,18-06-16,0,null,null,null,0,null,null,null,null,null,18-06-16
323-007-512,1,35,18-06-16,0,null,null,null,0,null,null,null,null,null,18-06-16
323-007-412,1,34,20-06-16,0,null,null,null,0,null,null,null,null,null,20-06-16
323-007-326,1,33,20-06-16,1,null,null,null,0,null,null,null,null,null,20-06-16
323-007-514,1,35,20-06-16,1,null,null,null,0,null,null,null,null,null,20-06-16
323-007-515,1,35,20-06-16,1,null,null,null,0,null,null,null,null,null,20-06-16
323-007-513,1,35,20-06-16,0,null,null,null,0,null,null,null,null,null,20-06-16
314-213-301,1,43,24-06-16,0,null,null,null,0,null,null,null,null,null,24-06-16
314-213-401,1,44,24-06-16,0,null,null,null,0,null,null,null,null,null,24-06-16
314-213-402,1,44,24-06-16,0,null,null,null,0,null,null,null,null,null,24-06-16
314-213-302,1,43,24-06-16,0,null,null,null,0,null,null,null,null,null,24-06-16
314-213-403,1,44,24-06-16,0,null,null,null,0,null,null,null,null,null,24-06-16
314-213-303,1,43,24-06-16,0,null,null,null,0,null,null,null,null,null,24-06-16
314-213-304,1,43,24-06-16,0,null,null,null,0,null,null,null,null,null,24-06-16
314-213-404,1,44,24-06-16,0,null,null,null,0,null,null,null,null,null,24-06-16
314-213-405,1,44,24-06-16,0,null,null,null,0,null,null,null,null,null,24-06-16
314-213-305,1,43,24-06-16,0,null,null,null,0,null,null,null,null,null,24-06-16
314-213-406,1,44,24-06-16,0,null,null,null,0,null,null,null,null,null,24-06-16
314-213-407,1,44,24-06-16,0,null,null,null,0,null,null,null,null,null,24-06-16
314-213-306,1,43,24-06-16,0,null,null,null,0,null,null,null,null,null,24-06-16
314-213-307,1,43,24-06-16,0,null,null,null,0,null,null,null,null,null,24-06-16
314-213-308,1,43,24-06-16,1,null,null,null,0,null,null,null,null,null,24-06-16
314-213-310,1,43,24-06-16,0,null,null,null,0,null,null,null,null,null,24-06-16
314-213-408,1,44,24-06-16,1,null,null,null,0,null,null,null,null,null,24-06-16
314-213-311,1,43,24-06-16,0,null,null,null,0,null,null,null,null,null,24-06-16
314-213-504,1,45,24-06-16,1,null,null,null,0,null,null,null,null,null,24-06-16
314-213-502,1,45,24-06-16,0,null,null,null,0,null,null,null,null,null,24-06-16
314-213-501,1,45,24-06-16,0,null,null,null,0,null,null,null,null,null,24-06-16
314-213-503,1,45,24-06-16,1,null,null,null,1,null,null,null,null,null,24-06-16
314-213-312,1,43,24-06-16,1,null,null,null,0,null,null,null,null,null,24-06-16
314-213-313,1,43,24-06-16,0,null,null,null,0,null,null,null,null,null,24-06-16
314-213-314,1,43,24-06-16,0,null,null,null,0,null,null,null,null,null,24-06-16
314-213-409,1,44,24-06-16,1,null,null,null,1,null,null,null,null,null,24-06-16
314-213-309,1,43,24-06-16,0,null,null,null,0,null,null,null,null,null,24-06-16
314-213-605,1,46,24-06-16,1,null,null,null,0,null,null,null,null,null,24-06-16
314-213-602,1,46,24-06-16,0,null,null,null,0,null,null,null,null,null,24-06-16
314-213-604,1,46,24-06-16,0,null,null,null,0,null,null,null,null,null,24-06-16
323-007-004,1,30,18-06-16,0,null,null,null,0,null,null,null,null,null,18-06-16
323-007-005,1,30,18-06-16,0,null,null,null,0,null,null,null,null,null,18-06-16
323-007-006,1,30,18-06-16,0,null,null,null,0,null,null,null,null,null,18-06-16
323-007-007,1,30,20-06-16,0,null,null,null,0,null,null,null,null,null,20-06-16
323-007-001,1,30,18-06-16,10,null,null,null,0,null,null,null,null,null,18-06-16
323-007-002,1,30,18-06-16,0,null,null,null,0,null,null,null,null,null,18-06-16
323-007-003,1,30,18-06-16,0,null,null,null,0,null,null,null,null,null,18-06-16
323-007-008,1,30,18-07-16,0,null,null,null,0,null,null,null,null,null,18-07-16
323-007-009,1,30,20-06-16,0,null,null,null,0,null,null,null,null,null,20-06-16
323-007-010,1,30,20-06-16,0,null,null,null,0,null,null,null,null,null,20-06-16
323-007-011,1,30,20-06-16,0,null,null,null,0,null,null,null,null,null,20-06-16
323-007-012,1,30,20-06-16,0,null,null,null,0,null,null,null,null,null,20-06-16
323-007-013,1,30,20-06-16,10,null,null,null,0,null,null,null,null,null,20-06-16
323-007-014,1,30,20-06-16,0,null,null,null,0,null,null,null,null,null,20-06-16
323-007-015,1,30,20-06-16,0,null,null,null,0,null,null,null,null,null,20-06-16
314-213-601,1,0,24-06-16,0,null,null,null,0,null,null,null,null,null,24-06-16
314-213-603,1,0,24-06-16,0,null,null,null,0,null,null,null,null,null,24-06-16
